ticker,title,summary,url,source,source_domain,time_published,banner_image,overall_sentiment_score,overall_sentiment_label,relevance_score,ticker_sentiment_score,ticker_sentiment_label
TSLA,Gentex CEO Fred Bauer retires,"Fred Bauer, the CEO of Gentex, has retired. He is recognized for his role in growing Gentex from a startup to a global industry giant. The article also includes other featured stories related to automotive news.",https://www.autonews.com/article/20180105/OEM02/180109847/gentex-ceo-fred-bauer-retires/,Automotive News,Automotive News,20180105T050000,,0.109525,Neutral,0.612333,0.139342,Neutral
TSLA,Lost in space? Zuma satellite allegedly missing after SpaceX launch,"A $1 billion-plus communication satellite named Zuma, built by Northrop Grumman, is reportedly missing after its launch aboard a SpaceX Falcon 9 rocket on January 7th from Cape Canaveral. It's feared the secretive satellite may have failed to reach orbit. This incident follows several other SpaceX-related news items, including previous spy satellite launches and Falcon Heavy developments.",https://www.bizjournals.com/orlando/news/2018/01/09/lost-in-space-zuma-satellite-allegedly-missing.html,The Business Journals,The Business Journals,20180109T161200,,-0.043532,Neutral,0.572387,0.118449,Neutral
TSLA,"Ford plans $11 billion investment, 40 electrified vehicles by 2022","Ford Motor Co. announced a significant increase in its electric vehicle investment plan to $11 billion by 2022, aiming to introduce 40 hybrid and fully electric vehicles. This move is a sharp increase from a previous $4.5 billion target and reflects a broader industry trend towards electrification driven by regulatory pressures and the success of companies like Tesla. Ford also plans to electrify its mainstream and iconic vehicles, including a hybrid F-150 truck and a high-performance electric utility vehicle, and will cut $14 billion in costs over five years by shifting away from sedans and internal combustion engines.",https://www.reuters.com/article/technology/ford-plans-11-billion-investment-40-electrified-vehicles-by-2022-idUSKBN1F30YV/,Reuters,Reuters,20180116T124600,,0.337337,Somewhat-Bullish,0.601969,0.299582,Somewhat-Bullish
TSLA,President Trump’s Solar Tariffs Are a Big Blow to Renewables,"President Donald Trump approved new tariffs of up to 30% on imported solar equipment, significantly impacting the $28 billion renewable energy industry that relies heavily on foreign parts. This decision, aimed at boosting domestic manufacturing, is expected to increase costs for solar projects and could lead to job losses, though some analysts believe the impact might be less severe than anticipated. The tariffs are a response to petitions from U.S. manufacturers claiming injury from cheap imports and are the latest in a series of Trump administration actions undermining renewable energy.",https://fortune.com/2018/01/22/donald-trump-solar-tariffs-blow-renewabales/,Fortune,Fortune,20180122T022658,,0.31701,Somewhat-Bullish,0.640319,0.125861,Neutral
TSLA,This ETF shows how you can pick stocks for rapid growth while doing good,"The iShares MSCI USA ESG Select ETF demonstrates how investors can achieve rapid growth without sacrificing ethical standards. This ETF, which tracks the MSCI USA ESG Select Index, includes companies with strong ESG criteria and has consistently outperformed the broader stock market. It provides a means to identify and invest in fast-growing companies that also adhere to environmental, social, and corporate governance principles.",https://www.marketwatch.com/story/this-etf-shows-how-you-can-pick-stocks-for-rapid-growth-while-doing-good-2018-01-24?gaa_at=eafs&gaa_n=AWEtsqebMGIjm1uPle1fQRW32-L_05DsOv6w-65wuxKNm1lMOIglbjTdw0jN&gaa_ts=693c6b59&gaa_sig=17BS0s2FIWyj958mf1qJmS0hiUZvoUiZ3_NLDZKsmyMkCrl-FEx_NGdxyluHl2_DvLXFONzpPoRLh5II-RVaZg%3D%3D,MarketWatch,MarketWatch,20180125T064200,https://ei.marketwatch.com/Multimedia/2018/01/24/Photos/ZH/MW-GC374_Tesla__20180124131021_ZH.jpg?uuid=d7a2ebaa-0131-11e8-b061-9c8e992d421e,0.35287,Bullish,0.606796,0.227644,Somewhat-Bullish
TSLA,This ETF shows how you can pick stocks for rapid growth while doing good,"The iShares MSCI USA ESG Select ETF demonstrates how to achieve rapid growth while adhering to ethical standards. This ETF, which tracks the MSCI USA ESG Select Index, has outperformed the stock market and includes companies with strong sales growth and positive environmental, social, and corporate governance (ESG) criteria. Tesla is highlighted as one of its stockholdings.",https://www.marketwatch.com/story/this-etf-shows-how-you-can-pick-stocks-for-rapid-growth-while-doing-good-2018-01-24?gaa_at=eafs&gaa_n=AWEtsqdGHow874MmYM0EWXEIPJzJHsq9D3ttNjRsfAjZpwARcY6QKXTb8p8k&gaa_ts=693b19ff&gaa_sig=NucnDx-51SCqb3fjTeRjl5Zagi0PT_X1kahHxrOOSpUrpz2fy5d7TPyTGY0vrN6EYLh_k6uaxSALl_nLU2ea1Q%3D%3D,MarketWatch,MarketWatch,20180125T064200,https://ei.marketwatch.com/Multimedia/2018/01/24/Photos/ZH/MW-GC374_Tesla__20180124131021_ZH.jpg,0.496441,Bullish,0.627077,0.544300,Bullish
TSLA,Fuel cell provider Plug Power tumbles after giving a bleak outlook,"Plug Power's stock tumbled after the company issued a bleak 2018 forward guidance, anticipating lower-than-expected revenue and continued losses. The company's fourth-quarter earnings were also projected to be below analyst expectations. This news led to a significant drop in its stock price and a year-to-date decline.",https://markets.businessinsider.com/news/stocks/fuel-cell-provider-plug-power-stock-price-dips-after-announcing-a-bleak-profit-outlook-2018-2-1015135596,markets.businessinsider.com,markets.businessinsider.com,20180208T171900,,-0.429129,Bearish,0.635078,-0.349425,Somewhat-Bearish
TSLA,"APS, First Solar plan large West Valley solar power plant with giant battery","First Solar Inc. and Arizona Public Service Co. (APS) are partnering to build a large solar power plant in the West Valley, Arizona, featuring a massive battery storage system. This project is unique for its battery size and operational strategy, designed to deliver electricity specifically during peak demand hours (3-8 p.m.). The plant aims to address the ""duck curve"" problem associated with increased solar integration on the grid by charging batteries during off-peak hours or selling excess solar energy, and then supplying APS when demand is highest.",https://www.azcentral.com/story/money/business/energy/2018/02/12/aps-first-solar-plan-large-west-valley-solar-power-plant-giant-battery/329941002/,azcentral.com and The Arizona Republic,azcentral.com and The Arizona Republic,20180212T022657,,0.193507,Somewhat-Bullish,0.631432,-0.140035,Neutral
TSLA,"UPS, Workhorse team up to develop all-electric Class 5 truck","UPS is partnering with Workhorse Group to develop all-electric Class 5 delivery trucks, with an initial deployment of 50 vehicles for real-world testing. These trucks are expected to offer a nearly 400 percent fuel efficiency improvement and a 100-mile range. This initiative is part of UPS's broader strategy to electrify its fleet, building on existing electric and hybrid vehicles and recent orders for Tesla Semi tractors and Fuso eCanter trucks.",https://www.ccjdigital.com/business/article/14936486/ups-workhorse-team-up-to-develop-all-electric-class-5-truck,Commercial Carrier Journal,Commercial Carrier Journal,20180222T034140,,0.290896,Somewhat-Bullish,0.619281,0.111118,Neutral
TSLA,10 Best and Worst Safety Options,"This article evaluates various safety options available in modern cars, categorizing them into best and worst based on their effectiveness and value. It highlights essential features like forward collision warning with automated braking and backup cameras, while also critiquing less effective or inconsistent systems such as some blind spot monitoring and lane departure warning systems. The author uses their experience and data from the Insurance Institute for Highway Safety to inform their recommendations.",https://www.cars.com/articles/10-best-and-worst-safety-options-1420682127918/,Cars.com,Cars.com,20180223T020144,,0.189241,Somewhat-Bullish,0.557052,0.223932,Somewhat-Bullish
TSLA,"Axon CEO may make $1 billion in the next 10 years or nothing at all, but he's excited for the challenge","Axon CEO and co-founder Rick Smith's new performance plan is modeled after Tesla CEO Elon Musk's compensation plan, offering him the potential to earn $1 billion over the next decade or nothing at all. This ambitious compensation structure highlights a significant shift in executive incentives, directly tying leadership wealth to long-term company performance. The plan reflects a growing trend of incentivizing high-risk, high-reward leadership in the tech industry.",https://www.bizjournals.com/phoenix/news/2018/02/27/axon-ceo-may-not-make-any-money-in-the-next-10.html,The Business Journals,The Business Journals,20180227T152700,,0.15841,Somewhat-Bullish,0.642589,0.109050,Neutral
TSLA,"For backup power, batteries join the mix as prices come down","Home battery systems are becoming a more affordable and popular alternative to traditional generators for backup power, especially in areas prone to storm outages. Sunrun Inc. has introduced its Brightbox system in Massachusetts at a competitive price, aiming to capitalize on consumer demand for reliable, clean backup energy. Other companies like Tesla are also expanding their home battery offerings as costs decline and incentives grow.",https://www.bostonglobe.com/business/2018/03/06/for-backup-power-batteries-join-mix-prices-come-down/UyQ0JkaUtc21PjGKL9buKN/story.html,The Boston Globe,The Boston Globe,20180306T031703,,0.357195,Bullish,0.700607,0.279704,Somewhat-Bullish
TSLA,Musk’s $2.6 billion award cheered on by big Tesla shareholders,"Two of Tesla Inc.'s largest shareholders, Baillie Gifford & Co. and T. Rowe Price Group Inc., are supporting a plan to award Elon Musk a compensation package valued at $2.6 billion. This backing comes despite proxy adviser Glass Lewis & Co. recommending against the plan due to potential shareholder dilution. The shareholders believe Musk's vision is crucial for Tesla's continued growth not just in automotive but also in energy markets.",https://www.bostonglobe.com/business/2018/03/07/musk-billion-award-cheered-big-tesla-shareholders/e3K380rjTQVJGUFY7GPjQL/story.html,The Boston Globe,The Boston Globe,20180307T050000,,0.322346,Somewhat-Bullish,0.964557,0.411550,Bullish
TSLA,Electric dreams: Lucid Air,"The Lucid Air is an all-electric luxury sedan developed using a largely digital design and engineering process. The article highlights the collaborative approach between design and engineering teams, the significant reliance on digital tools like Autodesk Alias and VRED, and the extensive use of multiphysics simulation for optimizing the vehicle's components and overall performance. Despite a rapid two-year development cycle and lacking traditional automotive heritage, Lucid Motors aims to break free from conventional car design, focusing on maximizing occupant space and delivering cutting-edge technology.",https://develop3d.com/features/electric-dreams-lucid-air-digital-design-engineering-automotive-design/,develop3d,develop3d,20180308T024655,,0.436855,Bullish,0.648991,0.142617,Neutral
TSLA,Faraday Future May Be Planning China Production Line for Its First Electric Car,"Faraday Future, led by Jia Yueting, appears to be planning a production line for its FF91 electric car in China. An affiliate company, Ruichi Smart Car Guangzhou Co., has been established with registration details matching requirements for an NEV production site recently auctioned in Guangzhou. This move could significantly cut costs for the FF91, the world's most expensive NEV.",https://www.yicaiglobal.com/news/faraday-future-may-be-planning-china-production-line-for-its-first-electric-car,Yicai Global,Yicai Global,20180313T072145,,0.185357,Somewhat-Bullish,0.602424,0.100125,Neutral
TSLA,"Ford, Once a Leader in the S.U.V. Race, Aims to Catch Up (Published 2018)","Ford Motor, once a leader in the SUV market, is now making a concerted effort to regain its position by introducing numerous new SUV models over the next three years. The company plans to make SUVs and pickup trucks account for 90 percent of its North American vehicle production by 2020, with a focus on hybrid, electric, and off-road variants. Ford also aims to cut costs by streamlining vehicle development and reducing the number of basic component architectures.",https://www.nytimes.com/2018/03/15/business/ford-suv.html,The New York Times,The New York Times,20180315T022126,,0.100664,Neutral,0.605453,0.132054,Neutral
TSLA,Uber Crash Is Nightmare Driverless World Feared but Expected,"A self-driving Uber test car struck and killed a pedestrian in Tempe, Arizona, on March 18, raising significant concerns about consumer confidence in autonomous vehicle technology. This incident, the first known fatality involving an autonomous test vehicle and a pedestrian, is prompting investigations and a call to slow down the industry's rapid march toward commercialization, especially in contrast to a previous Tesla fatality which involved a driver using an assistance system. The event is expected to have a broader impact on the future development and regulation of fully autonomous driving systems.",https://www.ttnews.com/articles/uber-crash-nightmare-driverless-world-feared-expected,Transport Topics,Transport Topics,20180320T120000,,-0.375357,Bearish,0.621030,-0.242013,Somewhat-Bearish
